Borough,Category,Measure (e.g Poverty Rate),Area,"Better = (Lower, Higher)",Measure Value,"Unit (%, pts)",London higher threshold,London,London lower threshold,England upper threshold,England,England lower threshold
Hammersmith & Fulham,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,25.7,%,34.12,28.8,23.88,39.72,34.6,29.48
Hammersmith & Fulham,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,238,,489.32,219,139.87,,,
Hammersmith & Fulham,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,14.15,,25.61,16.62,6.51,13.94,4.39,-5.16
Hammersmith & Fulham,Work,Unemployment rate,Unemployment rate,Lower,4.8,%,5.77,5,4.27,4.45,3.7,2.95
Hammersmith & Fulham,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Haringey,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,20,%,20.2,16.4,11.82,,,
Haringey,Work,Benefits,Out-of-work benefits,Lower,16.2,%,15.19,12.8,10.02,15.68,13.1,10.52
Haringey,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,35,%,39.38,33,23.75,38.82,31,23.18
Haringey,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.91,,3.39,2.42,1.39,2.51,1.51,0.51
Haringey,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,65.9,%,76.8,71.2,65.65,70.97,65.4,59.83
Haringey,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.8,,1.34,0.93,0.5,,,
Haringey,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,46.4,%,56.13,46.4,35.48,35.22,24.9,14.58
Haringey,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,350,,635.95,353,92.93,,,
Haringey,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.43,,1.49,1,0.67,1.21,0.8,0.39
Haringey,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.3,,4.51,3.3,2.15,4.88,3.7,2.52
Haringey,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,3.6,%,7.82,6.7,3.95,9.34,7.4,5.46
Haringey,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.5,,2.59,2.5,2.32,1.85,1.72,1.59
Haringey,Living standards,Poverty rate,Poverty rate,Lower,33,%,34.5,25,19.38,29.76,22.2,14.64
Haringey,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,323,,362.71,309,265.54,390.59,342,293.41
Haringey,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,32.9,%,34.12,28.8,23.88,39.72,34.6,29.48
Haringey,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,304,,489.32,219,139.87,,,
Haringey,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,22.87,,25.61,16.62,6.51,13.94,4.39,-5.16
Haringey,Work,Unemployment rate,Unemployment rate,Lower,4.4,%,5.77,5,4.27,4.45,3.7,2.95
Haringey,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-1.2,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Harrow,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,19.6,%,20.2,16.4,11.82,,,
Harrow,Work,Benefits,Out-of-work benefits,Lower,10,%,15.19,12.8,10.02,15.68,13.1,10.52
Harrow,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,31,%,39.38,33,23.75,38.82,31,23.18
Harrow,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.37,,3.39,2.42,1.39,2.51,1.51,0.51
Harrow,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,71.4,%,76.8,71.2,65.65,70.97,65.4,59.83
Harrow,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.55,,1.34,0.93,0.5,,,
Harrow,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,39,%,56.13,46.4,35.48,35.22,24.9,14.58
Harrow,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,213,,635.95,353,92.93,,,
Harrow,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.82,,1.49,1,0.67,1.21,0.8,0.39
Harrow,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3,,4.51,3.3,2.15,4.88,3.7,2.52
Harrow,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,,%,7.82,6.7,3.95,9.34,7.4,5.46
Harrow,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.56,,2.59,2.5,2.32,1.85,1.72,1.59
Harrow,Living standards,Poverty rate,Poverty rate,Lower,23,%,34.5,25,19.38,29.76,22.2,14.64
Harrow,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,250,,362.71,309,265.54,390.59,342,293.41
Harrow,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,20,%,34.12,28.8,23.88,39.72,34.6,29.48
Harrow,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,96,,489.32,219,139.87,,,
Harrow,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,12.18,,25.61,16.62,6.51,13.94,4.39,-5.16
Harrow,Work,Unemployment rate,Unemployment rate,Lower,4.7,%,5.77,5,4.27,4.45,3.7,2.95
Harrow,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.5,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Havering,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,16.2,%,20.2,16.4,11.82,,,
Havering,Work,Benefits,Out-of-work benefits,Lower,11.1,%,15.19,12.8,10.02,15.68,13.1,10.52
Havering,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,28,%,39.38,33,23.75,38.82,31,23.18
Havering,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.91,,3.39,2.42,1.39,2.51,1.51,0.51
Havering,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,69.4,%,76.8,71.2,65.65,70.97,65.4,59.83
Havering,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.23,,1.34,0.93,0.5,,,
Havering,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,33.2,%,56.13,46.4,35.48,35.22,24.9,14.58
Havering,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,258,,635.95,353,92.93,,,
Havering,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.69,,1.49,1,0.67,1.21,0.8,0.39
Havering,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.3,,4.51,3.3,2.15,4.88,3.7,2.52
Havering,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.9,%,7.82,6.7,3.95,9.34,7.4,5.46
Havering,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.47,,2.59,2.5,2.32,1.85,1.72,1.59
Havering,Living standards,Poverty rate,Poverty rate,Lower,16,%,34.5,25,19.38,29.76,22.2,14.64
Havering,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,321,,362.71,309,265.54,390.59,342,293.41
Havering,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,35.5,%,34.12,28.8,23.88,39.72,34.6,29.48
Havering,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,79,,489.32,219,139.87,,,
Havering,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,9.77,,25.61,16.62,6.51,13.94,4.39,-5.16
Havering,Work,Unemployment rate,Unemployment rate,Lower,4.4,%,5.77,5,4.27,4.45,3.7,2.95
Havering,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Hillingdon,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,17.8,%,20.2,16.4,11.82,,,
Hillingdon,Work,Benefits,Out-of-work benefits,Lower,11.4,%,15.19,12.8,10.02,15.68,13.1,10.52
Hillingdon,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,31,%,39.38,33,23.75,38.82,31,23.18
Hillingdon,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.66,,3.39,2.42,1.39,2.51,1.51,0.51
Hillingdon,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,70.1,%,76.8,71.2,65.65,70.97,65.4,59.83
Hillingdon,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1,,1.34,0.93,0.5,,,
Hillingdon,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,36.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Hillingdon,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,290,,635.95,353,92.93,,,
Hillingdon,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.85,,1.49,1,0.67,1.21,0.8,0.39
Hillingdon,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.4,,4.51,3.3,2.15,4.88,3.7,2.52
Hillingdon,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,7.1,%,7.82,6.7,3.95,9.34,7.4,5.46
Hillingdon,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.44,,2.59,2.5,2.32,1.85,1.72,1.59
Hillingdon,Living standards,Poverty rate,Poverty rate,Lower,22,%,34.5,25,19.38,29.76,22.2,14.64
Hillingdon,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,317,,362.71,309,265.54,390.59,342,293.41
Hillingdon,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,32.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Hillingdon,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,167,,489.32,219,139.87,,,
Hillingdon,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,8.13,,25.61,16.62,6.51,13.94,4.39,-5.16
Hillingdon,Work,Unemployment rate,Unemployment rate,Lower,7,%,5.77,5,4.27,4.45,3.7,2.95
Hillingdon,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.7,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Hounslow,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,19.5,%,20.2,16.4,11.82,,,
Hounslow,Work,Benefits,Out-of-work benefits,Lower,13,%,15.19,12.8,10.02,15.68,13.1,10.52
Hounslow,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,32,%,39.38,33,23.75,38.82,31,23.18
Hounslow,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.06,,3.39,2.42,1.39,2.51,1.51,0.51
Hounslow,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,72,%,76.8,71.2,65.65,70.97,65.4,59.83
Hounslow,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.24,,1.34,0.93,0.5,,,
Hounslow,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,44.8,%,56.13,46.4,35.48,35.22,24.9,14.58
Hounslow,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,390,,635.95,353,92.93,,,
Hounslow,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.96,,1.49,1,0.67,1.21,0.8,0.39
Hounslow,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4.9,,4.51,3.3,2.15,4.88,3.7,2.52
Hounslow,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,5,%,7.82,6.7,3.95,9.34,7.4,5.46
Hounslow,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.35,,2.59,2.5,2.32,1.85,1.72,1.59
Hounslow,Living standards,Poverty rate,Poverty rate,Lower,28,%,34.5,25,19.38,29.76,22.2,14.64
Hounslow,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,314,,362.71,309,265.54,390.59,342,293.41
Hounslow,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,25.1,%,34.12,28.8,23.88,39.72,34.6,29.48
Hounslow,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,196,,489.32,219,139.87,,,
Hounslow,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,3.26,,25.61,16.62,6.51,13.94,4.39,-5.16
Hounslow,Work,Unemployment rate,Unemployment rate,Lower,4.4,%,5.77,5,4.27,4.45,3.7,2.95
Hounslow,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.5,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Islington,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,12.1,%,20.2,16.4,11.82,,,
Islington,Work,Benefits,Out-of-work benefits,Lower,15.6,%,15.19,12.8,10.02,15.68,13.1,10.52
Islington,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,37,%,39.38,33,23.75,38.82,31,23.18
Islington,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.95,,3.39,2.42,1.39,2.51,1.51,0.51
Islington,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,65.6,%,76.8,71.2,65.65,70.97,65.4,59.83
Islington,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.42,,1.34,0.93,0.5,,,
Islington,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,58,%,56.13,46.4,35.48,35.22,24.9,14.58
Islington,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,514,,635.95,353,92.93,,,
Islington,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.58,,1.49,1,0.67,1.21,0.8,0.39
Islington,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.3,,4.51,3.3,2.15,4.88,3.7,2.52
Islington,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.7,%,7.82,6.7,3.95,9.34,7.4,5.46
Islington,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.28,,2.59,2.5,2.32,1.85,1.72,1.59
Islington,Living standards,Poverty rate,Poverty rate,Lower,25,%,34.5,25,19.38,29.76,22.2,14.64
Islington,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,371,,362.71,309,265.54,390.59,342,293.41
Islington,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,33.1,%,34.12,28.8,23.88,39.72,34.6,29.48
Islington,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,337,,489.32,219,139.87,,,
Islington,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,9.49,,25.61,16.62,6.51,13.94,4.39,-5.16
Islington,Work,Unemployment rate,Unemployment rate,Lower,5,%,5.77,5,4.27,4.45,3.7,2.95
Islington,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.5,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Kensington & Chelsea,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,10,%,20.2,16.4,11.82,,,
Kensington & Chelsea,Work,Benefits,Out-of-work benefits,Lower,10.6,%,15.19,12.8,10.02,15.68,13.1,10.52
Kensington & Chelsea,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,23,%,39.38,33,23.75,38.82,31,23.18
Kensington & Chelsea,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.14,,3.39,2.42,1.39,2.51,1.51,0.51
Kensington & Chelsea,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,75.4,%,76.8,71.2,65.65,70.97,65.4,59.83
Kensington & Chelsea,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.58,,1.34,0.93,0.5,,,
Kensington & Chelsea,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,73,%,56.13,46.4,35.48,35.22,24.9,14.58
Kensington & Chelsea,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,39,,635.95,353,92.93,,,
Kensington & Chelsea,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.7,,1.49,1,0.67,1.21,0.8,0.39
Kensington & Chelsea,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,,,4.51,3.3,2.15,4.88,3.7,2.52
Kensington & Chelsea,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,,%,7.82,6.7,3.95,9.34,7.4,5.46
Kensington & Chelsea,Living standards,Pay inequality,80:20 ratio of earnings,Lower,,,2.59,2.5,2.32,1.85,1.72,1.59
Kensington & Chelsea,Living standards,Poverty rate,Poverty rate,Lower,29,%,34.5,25,19.38,29.76,22.2,14.64
Kensington & Chelsea,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,265,,362.71,309,265.54,390.59,342,293.41
Kensington & Chelsea,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,26,%,34.12,28.8,23.88,39.72,34.6,29.48
Kensington & Chelsea,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,199,,489.32,219,139.87,,,
Kensington & Chelsea,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,24.98,,25.61,16.62,6.51,13.94,4.39,-5.16
Kensington & Chelsea,Work,Unemployment rate,Unemployment rate,Lower,5.9,%,5.77,5,4.27,4.45,3.7,2.95
Kensington & Chelsea,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Kingston upon Thames,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,14,%,20.2,16.4,11.82,,,
Kingston upon Thames,Work,Benefits,Out-of-work benefits,Lower,8.3,%,15.19,12.8,10.02,15.68,13.1,10.52
Kingston upon Thames,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,19,%,39.38,33,23.75,38.82,31,23.18
Kingston upon Thames,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.28,,3.39,2.42,1.39,2.51,1.51,0.51
Kingston upon Thames,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,81,%,76.8,71.2,65.65,70.97,65.4,59.83
Kingston upon Thames,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.57,,1.34,0.93,0.5,,,
Kingston upon Thames,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,41.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Kingston upon Thames,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,33,,635.95,353,92.93,,,
Kingston upon Thames,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.59,,1.49,1,0.67,1.21,0.8,0.39
Kingston upon Thames,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.8,,4.51,3.3,2.15,4.88,3.7,2.52
Kingston upon Thames,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,,%,7.82,6.7,3.95,9.34,7.4,5.46
Kingston upon Thames,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.71,,2.59,2.5,2.32,1.85,1.72,1.59
Kingston upon Thames,Living standards,Poverty rate,Poverty rate,Lower,22,%,34.5,25,19.38,29.76,22.2,14.64
Kingston upon Thames,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,259,,362.71,309,265.54,390.59,342,293.41
Kingston upon Thames,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,22.4,%,34.12,28.8,23.88,39.72,34.6,29.48
Kingston upon Thames,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,120,,489.32,219,139.87,,,
Kingston upon Thames,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,13.01,,25.61,16.62,6.51,13.94,4.39,-5.16
Kingston upon Thames,Work,Unemployment rate,Unemployment rate,Lower,4.6,%,5.77,5,4.27,4.45,3.7,2.95
Kingston upon Thames,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Lambeth,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,10.6,%,20.2,16.4,11.82,,,
Lambeth,Work,Benefits,Out-of-work benefits,Lower,12.8,%,15.19,12.8,10.02,15.68,13.1,10.52
Lambeth,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,36,%,39.38,33,23.75,38.82,31,23.18
Lambeth,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.98,,3.39,2.42,1.39,2.51,1.51,0.51
Lambeth,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,62.9,%,76.8,71.2,65.65,70.97,65.4,59.83
Lambeth,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.55,,1.34,0.93,0.5,,,
Lambeth,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,51.4,%,56.13,46.4,35.48,35.22,24.9,14.58
Lambeth,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,245,,635.95,353,92.93,,,
Lambeth,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.19,,1.49,1,0.67,1.21,0.8,0.39
Lambeth,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.1,,4.51,3.3,2.15,4.88,3.7,2.52
Lambeth,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,3.9,%,7.82,6.7,3.95,9.34,7.4,5.46
Lambeth,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.49,,2.59,2.5,2.32,1.85,1.72,1.59
Lambeth,Living standards,Poverty rate,Poverty rate,Lower,28,%,34.5,25,19.38,29.76,22.2,14.64
Lambeth,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,356,,362.71,309,265.54,390.59,342,293.41
Lambeth,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,36.7,%,34.12,28.8,23.88,39.72,34.6,29.48
Lambeth,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,623,,489.32,219,139.87,,,
Lambeth,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,,,25.61,16.62,6.51,13.94,4.39,-5.16
Lambeth,Work,Unemployment rate,Unemployment rate,Lower,4.4,%,5.77,5,4.27,4.45,3.7,2.95
Lambeth,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.2,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Lewisham,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,17.7,%,20.2,16.4,11.82,,,
Lewisham,Work,Benefits,Out-of-work benefits,Lower,14.9,%,15.19,12.8,10.02,15.68,13.1,10.52
Lewisham,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,33,%,39.38,33,23.75,38.82,31,23.18
Lewisham,Housing,Evictions,"Repossessions per 1,000 households",Lower,3.58,,3.39,2.42,1.39,2.51,1.51,0.51
Lewisham,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,61,%,76.8,71.2,65.65,70.97,65.4,59.83
Lewisham,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.98,,1.34,0.93,0.5,,,
Lewisham,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,41.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Lewisham,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,173,,635.95,353,92.93,,,
Lewisham,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.39,,1.49,1,0.67,1.21,0.8,0.39
Lewisham,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.7,,4.51,3.3,2.15,4.88,3.7,2.52
Lewisham,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.1,%,7.82,6.7,3.95,9.34,7.4,5.46
Lewisham,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.52,,2.59,2.5,2.32,1.85,1.72,1.59
Lewisham,Living standards,Poverty rate,Poverty rate,Lower,32,%,34.5,25,19.38,29.76,22.2,14.64
Lewisham,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,369,,362.71,309,265.54,390.59,342,293.41
Lewisham,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,35.2,%,34.12,28.8,23.88,39.72,34.6,29.48
Lewisham,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,296,,489.32,219,139.87,,,
Lewisham,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,20.02,,25.61,16.62,6.51,13.94,4.39,-5.16
Lewisham,Work,Unemployment rate,Unemployment rate,Lower,4.9,%,5.77,5,4.27,4.45,3.7,2.95
Lewisham,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.3,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Merton,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,13.1,%,20.2,16.4,11.82,,,
Merton,Work,Benefits,Out-of-work benefits,Lower,9.9,%,15.19,12.8,10.02,15.68,13.1,10.52
Merton,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,27,%,39.38,33,23.75,38.82,31,23.18
Merton,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.07,,3.39,2.42,1.39,2.51,1.51,0.51
Merton,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,73.9,%,76.8,71.2,65.65,70.97,65.4,59.83
Merton,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.3,,1.34,0.93,0.5,,,
Merton,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,44.8,%,56.13,46.4,35.48,35.22,24.9,14.58
Merton,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,174,,635.95,353,92.93,,,
Merton,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.67,,1.49,1,0.67,1.21,0.8,0.39
Merton,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4,,4.51,3.3,2.15,4.88,3.7,2.52
Merton,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,2.3,%,7.82,6.7,3.95,9.34,7.4,5.46
Merton,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.65,,2.59,2.5,2.32,1.85,1.72,1.59
Merton,Living standards,Poverty rate,Poverty rate,Lower,14,%,34.5,25,19.38,29.76,22.2,14.64
Merton,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,264,,362.71,309,265.54,390.59,342,293.41
Merton,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,31.1,%,34.12,28.8,23.88,39.72,34.6,29.48
Merton,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,63,,489.32,219,139.87,,,
Merton,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,4.51,,25.61,16.62,6.51,13.94,4.39,-5.16
Merton,Work,Unemployment rate,Unemployment rate,Lower,5.3,%,5.77,5,4.27,4.45,3.7,2.95
Merton,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,2.2,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Newham,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,20,%,20.2,16.4,11.82,,,
Newham,Work,Benefits,Out-of-work benefits,Lower,14.9,%,15.19,12.8,10.02,15.68,13.1,10.52
Newham,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,44,%,39.38,33,23.75,38.82,31,23.18
Newham,Housing,Evictions,"Repossessions per 1,000 households",Lower,4.46,,3.39,2.42,1.39,2.51,1.51,0.51
Newham,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,71.8,%,76.8,71.2,65.65,70.97,65.4,59.83
Newham,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.47,,1.34,0.93,0.5,,,
Newham,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,47.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Newham,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,1085,,635.95,353,92.93,,,
Newham,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.49,,1.49,1,0.67,1.21,0.8,0.39
